date,demand
20221022T01Z,35684
20221022T00Z,35047
20221021T23Z,33607
20221021T22Z,32257
20221021T21Z,31518
20221021T20Z,31482
20221021T19Z,31884
20221021T18Z,32433
20221021T17Z,31954
20221021T16Z,31257
20221021T15Z,29892
20221021T14Z,27963
20221021T13Z,27130
20221021T12Z,27137
20221021T11Z,27466
20221021T10Z,27971
20221021T09Z,29077
20221021T08Z,29916
20221021T07Z,31933
20221021T06Z,34074
20221021T05Z,35170
20221021T04Z,37721
20221021T03Z,38864
20221021T02Z,39438
20221021T01Z,39227
20221021T00Z,38195
20221020T23Z,36529
20221020T22Z,34912
20221020T21Z,33701
20221020T20Z,33303
20221020T19Z,32666
20221020T18Z,32666
20221020T17Z,31766
20221020T16Z,31103
20221020T15Z,30370
20221020T14Z,28472
20221020T13Z,27172
20221020T12Z,27297
20221020T11Z,27573
20221020T10Z,27764
20221020T09Z,28707
20221020T08Z,30195
20221020T07Z,32606
20221020T06Z,35117
20221020T05Z,37192
20221020T04Z,39092
20221020T03Z,40441
20221020T02Z,41174
20221020T01Z,40915
20221020T00Z,39569
20221019T23Z,37460
20221019T22Z,35460
20221019T21Z,34424
20221019T20Z,33667
20221019T19Z,33082
20221019T18Z,33064
20221019T17Z,32115
20221019T16Z,31281
20221019T15Z,29819
20221019T14Z,27785
20221019T13Z,26809
20221019T12Z,26697
20221019T11Z,26863
20221019T10Z,27413
20221019T09Z,28514
20221019T08Z,29630
20221019T07Z,31761
20221019T06Z,34251
20221019T05Z,35378
20221019T04Z,37276
20221019T03Z,37975
20221019T02Z,37990
20221019T01Z,37356
20221019T00Z,36370
20221018T23Z,34787
20221018T22Z,33757
20221018T21Z,33309
20221018T20Z,32829
20221018T19Z,32429
20221018T18Z,32705
20221018T17Z,31649
20221018T16Z,31309
20221018T15Z,29615
20221018T14Z,27711
20221018T13Z,26317
20221018T12Z,25919
20221018T11Z,26132
20221018T10Z,26514
20221018T09Z,27513
20221018T08Z,28843
20221018T07Z,29815
20221018T06Z,31474
20221018T05Z,32346
20221018T04Z,34479
20221018T03Z,34973
20221018T02Z,34376
20221018T01Z,33295
20221018T00Z,32032
20221017T23Z,31171
20221017T22Z,30328
20221017T21Z,30143
20221017T20Z,30088
20221017T19Z,30783
20221017T18Z,30984
20221017T17Z,30445
20221017T16Z,29556
20221017T15Z,28105
20221017T14Z,25767
20221017T13Z,24468
20221017T12Z,23495
20221017T11Z,23723
20221017T10Z,23997
20221017T09Z,24834
20221017T08Z,25780
20221017T07Z,27387
20221017T06Z,29019
20221017T05Z,29551
20221017T04Z,31124
20221017T03Z,31146
20221017T02Z,29845
20221017T01Z,28542
20221017T00Z,27608
20221016T23Z,26738
20221016T22Z,26741
20221016T21Z,27379
20221016T20Z,28062
20221016T19Z,27663
20221016T18Z,27308
20221016T17Z,26075
20221016T16Z,25096
20221016T15Z,24495
20221016T14Z,24129
20221016T13Z,23728
20221016T12Z,24009
20221016T11Z,24496
20221016T10Z,25129
20221016T09Z,26080
20221016T08Z,26960
20221016T07Z,28182
20221016T06Z,29457
20221016T05Z,30434
20221016T04Z,31331
20221016T03Z,31706
20221016T02Z,31028
20221016T01Z,30406
20221016T00Z,29525
20221015T23Z,28528
20221015T22Z,28429
20221015T21Z,28827
20221015T20Z,29076
20221015T19Z,29627
20221015T18Z,29498
20221015T17Z,28593
20221015T16Z,27194
20221015T15Z,26209
20221015T14Z,25433
20221015T13Z,25103
20221015T12Z,25101
20221015T11Z,25674
20221015T10Z,26474
20221015T09Z,27490
20221015T08Z,28627
20221015T07Z,30420
20221015T06Z,32024
20221015T05Z,32479
20221015T04Z,34451
20221015T03Z,35265
20221015T02Z,34760
20221015T01Z,34061
20221015T00Z,33215
20221014T23Z,32713
20221014T22Z,32188
20221014T21Z,32679
20221014T20Z,32900
20221014T19Z,33580
20221014T18Z,33391
20221014T17Z,32129
20221014T16Z,31008
20221014T15Z,29357
20221014T14Z,27203
20221014T13Z,25982
20221014T12Z,25691
20221014T11Z,26007
20221014T10Z,26612
20221014T09Z,27588
20221014T08Z,28929
20221014T07Z,30928
20221014T06Z,33082
20221014T05Z,34567
20221014T04Z,35977
20221014T03Z,36638
20221014T02Z,36308
20221014T01Z,35539
20221014T00Z,34127
