,date,demand,emissions,registered EVs
595,20221103T04Z,32250,6402,test
596,20221103T03Z,32585,6452,test
597,20221103T02Z,30924,6690,test
598,20221103T01Z,29148,6914,test
599,20221103T00Z,27712,7524,test
600,20221102T23Z,27242,8156,test
601,20221102T22Z,27562,8315,test
602,20221102T21Z,28157,8585,test
603,20221102T20Z,29074,8536,test
604,20221102T19Z,30024,8449,test
605,20221102T18Z,30567,7643,test
606,20221102T17Z,30468,6861,test
607,20221102T16Z,30295,4758,test
608,20221102T15Z,28662,3841,test
609,20221102T14Z,26224,4135,test
610,20221102T13Z,24746,4432,test
611,20221102T12Z,24646,4382,test
612,20221102T11Z,25094,4343,test
613,20221102T10Z,25222,5363,test
614,20221102T09Z,26183,6105,test
615,20221102T08Z,26874,7130,test
616,20221102T07Z,28479,6948,test
617,20221102T06Z,30246,6359,test
618,20221102T05Z,31575,6112,test
619,20221102T04Z,32403,6553,test
620,20221102T03Z,32738,6944,test
621,20221102T02Z,31450,6699,test
622,20221102T01Z,30115,6948,test
623,20221102T00Z,29204,7308,test
624,20221101T23Z,30137,7681,test
625,20221101T22Z,30538,8266,test
626,20221101T21Z,30512,8808,test
627,20221101T20Z,30804,8379,test
628,20221101T19Z,30511,8299,test
629,20221101T18Z,30171,7805,test
630,20221101T17Z,30090,6488,test
631,20221101T16Z,30131,5393,test
632,20221101T15Z,28779,5260,test
633,20221101T14Z,26648,5663,test
634,20221101T13Z,25134,5618,test
635,20221101T12Z,24975,5815,test
636,20221101T11Z,24985,5771,test
637,20221101T10Z,25218,6209,test
638,20221101T09Z,25673,6692,test
639,20221101T08Z,26676,8943,test
640,20221101T07Z,28131,8319,test
641,20221101T06Z,29937,7632,test
642,20221101T05Z,29738,7389,test
643,20221101T04Z,31153,7529,test
644,20221101T03Z,31837,7468,test
645,20221101T02Z,31623,7479,test
646,20221101T01Z,30814,7503,test
647,20221101T00Z,30638,7608,test
648,20221031T23Z,30502,7681,test
649,20221031T22Z,30609,8266,test
650,20221031T21Z,30080,8808,test
651,20221031T20Z,30154,8379,test
652,20221031T19Z,30357,8299,test
653,20221031T18Z,30120,7805,test
654,20221031T17Z,29686,6488,test
655,20221031T16Z,29813,5393,test
656,20221031T15Z,28719,5260,test
657,20221031T14Z,26178,5663,test
658,20221031T13Z,24563,5618,test
659,20221031T12Z,24230,5815,test
660,20221031T11Z,24380,5771,test
661,20221031T10Z,24543,6209,test
662,20221031T09Z,25182,6692,test
663,20221031T08Z,26078,8943,test
664,20221031T07Z,26919,8319,test
665,20221031T06Z,28341,7632,test
666,20221031T05Z,28648,7389,test
667,20221031T04Z,30266,7529,test
668,20221031T03Z,30570,7468,test
669,20221031T02Z,29222,7479,test
670,20221031T01Z,27364,7503,test
671,20221031T00Z,25651,7608,test
672,20221030T23Z,24755,7681,test
673,20221030T22Z,24303,8266,test
674,20221030T21Z,24025,8808,test
675,20221030T20Z,23950,8379,test
676,20221030T19Z,24411,8299,test
677,20221030T18Z,25050,7805,test
678,20221030T17Z,25023,6488,test
679,20221030T16Z,25305,5393,test
680,20221030T15Z,24832,5260,test
681,20221030T14Z,23931,5663,test
682,20221030T13Z,23680,5618,test
683,20221030T12Z,23699,5815,test
684,20221030T11Z,23946,5771,test
685,20221030T10Z,24636,6209,test
686,20221030T09Z,25426,6692,test
687,20221030T08Z,26366,8943,test
688,20221030T07Z,27275,8319,test
689,20221030T06Z,27797,7632,test
690,20221030T05Z,28627,7389,test
691,20221030T04Z,29447,7529,test
692,20221030T03Z,29961,7468,test
693,20221030T02Z,28742,7479,test
694,20221030T01Z,27191,7503,test
695,20221030T00Z,25576,7608,test
696,20221029T23Z,24602,7681,test
697,20221029T22Z,24658,8266,test
698,20221029T21Z,24951,8808,test
699,20221029T20Z,25282,8379,test
700,20221029T19Z,25988,8299,test
701,20221029T18Z,26686,7805,test
702,20221029T17Z,26495,6488,test
703,20221029T16Z,26837,5393,test
704,20221029T15Z,26066,5260,test
705,20221029T14Z,25160,5663,test
706,20221029T13Z,24739,5618,test
707,20221029T12Z,24663,5815,test
708,20221029T11Z,25018,5771,test
709,20221029T10Z,25672,6209,test
710,20221029T09Z,26456,6692,test
711,20221029T08Z,27393,8943,test
712,20221029T07Z,28794,8319,test
713,20221029T06Z,30225,7632,test
714,20221029T05Z,31128,7389,test
715,20221029T04Z,31572,7529,test
716,20221029T03Z,31956,7468,test
717,20221029T02Z,30913,7479,test
718,20221029T01Z,29917,7503,test
719,20221029T00Z,29601,7608,test
720,20221028T23Z,29318,9027,test
721,20221028T22Z,29227,9489,test
722,20221028T21Z,28892,9485,test
723,20221028T20Z,29068,9423,test
724,20221028T19Z,29303,9051,test
725,20221028T18Z,29793,8853,test
726,20221028T17Z,29828,7157,test
727,20221028T16Z,30526,5996,test
728,20221028T15Z,29283,5064,test
729,20221028T14Z,27112,5031,test
730,20221028T13Z,25680,4777,test
731,20221028T12Z,25440,5283,test
732,20221028T11Z,25584,4895,test
733,20221028T10Z,25959,4970,test
734,20221028T09Z,26148,5327,test
735,20221028T08Z,26924,8054,test
736,20221028T07Z,28530,8699,test
737,20221028T06Z,30286,8416,test
738,20221028T05Z,30935,8067,test
739,20221028T04Z,31989,8278,test
740,20221028T03Z,32845,8233,test
741,20221028T02Z,32090,8301,test
742,20221028T01Z,30620,8083,test
743,20221028T00Z,29387,8025,test
744,20221027T23Z,29055,8675,test
745,20221027T22Z,28296,8943,test
746,20221027T21Z,27884,9139,test
747,20221027T20Z,28446,8951,test
748,20221027T19Z,28894,9288,test
749,20221027T18Z,29546,8602,test
750,20221027T17Z,30215,6847,test
751,20221027T16Z,30378,4826,test
752,20221027T15Z,28933,3976,test
753,20221027T14Z,26696,4058,test
754,20221027T13Z,25159,4286,test
755,20221027T12Z,24548,4384,test
756,20221027T11Z,24603,4457,test
757,20221027T10Z,25027,4302,test
758,20221027T09Z,25889,5560,test
759,20221027T08Z,26724,7349,test
760,20221027T07Z,28370,7825,test
761,20221027T06Z,30151,7464,test
762,20221027T05Z,31534,7328,test
763,20221027T04Z,32697,7047,test
764,20221027T03Z,33003,6843,test
765,20221027T02Z,31833,6604,test
766,20221027T01Z,30284,6715,test
767,20221027T00Z,28475,6679,test
768,20221026T23Z,27409,7052,test
769,20221026T22Z,26972,7588,test
770,20221026T21Z,26948,8005,test
771,20221026T20Z,27694,8248,test
772,20221026T19Z,28720,8251,test
